"Label (Grouping)","Alameda County, California!!Estimate","Alameda County, California!!Percent","Alpine County, California!!Estimate","Alpine County, California!!Percent","Amador County, California!!Estimate","Amador County, California!!Percent","Butte County, California!!Estimate","Butte County, California!!Percent","Calaveras County, California!!Estimate","Calaveras County, California!!Percent","Colusa County, California!!Estimate","Colusa County, California!!Percent","Contra Costa County, California!!Estimate","Contra Costa County, California!!Percent","Del Norte County, California!!Estimate","Del Norte County, California!!Percent","El Dorado County, California!!Estimate","El Dorado County, California!!Percent","Fresno County, California!!Estimate","Fresno County, California!!Percent","Glenn County, California!!Estimate","Glenn County, California!!Percent","Humboldt County, California!!Estimate","Humboldt County, California!!Percent","Imperial County, California!!Estimate","Imperial County, California!!Percent","Inyo County, California!!Estimate","Inyo County, California!!Percent","Kern County, California!!Estimate","Kern County, California!!Percent","Kings County, California!!Estimate","Kings County, California!!Percent","Lake County, California!!Estimate","Lake County, California!!Percent","Lassen County, California!!Estimate","Lassen County, California!!Percent","Los Angeles County, California!!Estimate","Los Angeles County, California!!Percent","Madera County, California!!Estimate","Madera County, California!!Percent","Marin County, California!!Estimate","Marin County, California!!Percent","Mariposa County, California!!Estimate","Mariposa County, California!!Percent","Mendocino County, California!!Estimate","Mendocino County, California!!Percent","Merced County, California!!Estimate","Merced County, California!!Percent","Modoc County, California!!Estimate","Modoc County, California!!Percent","Mono County, California!!Estimate","Mono County, California!!Percent","Monterey County, California!!Estimate","Monterey County, California!!Percent","Napa County, California!!Estimate","Napa County, California!!Percent","Nevada County, California!!Estimate","Nevada County, California!!Percent","Orange County, California!!Estimate","Orange County, California!!Percent","Placer County, California!!Estimate","Placer County, California!!Percent","Plumas County, California!!Estimate","Plumas County, California!!Percent","Riverside County, California!!Estimate","Riverside County, California!!Percent","Sacramento County, California!!Estimate","Sacramento County, California!!Percent","San Benito County, California!!Estimate","San Benito County, California!!Percent","San Bernardino County, California!!Estimate","San Bernardino County, California!!Percent","San Diego County, California!!Estimate","San Diego County, California!!Percent","San Francisco County, California!!Estimate","San Francisco County, California!!Percent","San Joaquin County, California!!Estimate","San Joaquin County, California!!Percent","San Luis Obispo County, California!!Estimate","San Luis Obispo County, California!!Percent","San Mateo County, California!!Estimate","San Mateo County, California!!Percent","Santa Barbara County, California!!Estimate","Santa Barbara County, California!!Percent","Santa Clara County, California!!Estimate","Santa Clara County, California!!Percent","Santa Cruz County, California!!Estimate","Santa Cruz County, California!!Percent","Shasta County, California!!Estimate","Shasta County, California!!Percent","Sierra County, California!!Estimate","Sierra County, California!!Percent","Siskiyou County, California!!Estimate","Siskiyou County, California!!Percent","Solano County, California!!Estimate","Solano County, California!!Percent","Sonoma County, California!!Estimate","Sonoma County, California!!Percent","Stanislaus County, California!!Estimate","Stanislaus County, California!!Percent","Sutter County, California!!Estimate","Sutter County, California!!Percent","Tehama County, California!!Estimate","Tehama County, California!!Percent","Trinity County, California!!Estimate","Trinity County, California!!Percent","Tulare County, California!!Estimate","Tulare County, California!!Percent","Tuolumne County, California!!Estimate","Tuolumne County, California!!Percent","Ventura County, California!!Estimate","Ventura County, California!!Percent","Yolo County, California!!Estimate","Yolo County, California!!Percent","Yuba County, California!!Estimate","Yuba County, California!!Percent"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","1,661,584","1,661,584","1,159","1,159","39,023","39,023","223,344","223,344","45,828","45,828","21,491","21,491","1,147,788","1,147,788","27,692","27,692","190,345","190,345","990,204","990,204","28,060","28,060","136,101","136,101","180,580","180,580","17,930","17,930","892,458","892,458","151,090","151,090","64,276","64,276","30,600","30,600","10,040,682","10,040,682","155,925","155,925","259,441","259,441","17,319","17,319","87,110","87,110","273,661","273,661","8,853","8,853","14,395","14,395","432,977","432,977","138,572","138,572","99,417","99,417","3,170,345","3,170,345","391,799","391,799","18,844","18,844","2,437,864","2,437,864","1,537,948","1,537,948","61,547","61,547","2,162,532","2,162,532","3,323,970","3,323,970","874,784","874,784","751,615","751,615","282,517","282,517","765,623","765,623","444,895","444,895","1,924,379","1,924,379","273,170","273,170","179,267","179,267","2,898","2,898","43,516","43,516","444,538","444,538","496,801","496,801","546,235","546,235","96,315","96,315","64,176","64,176","12,541","12,541","463,955","463,955","54,147","54,147","845,599","845,599","218,774","218,774","77,524","77,524"
"        Male","817,141","49.2%","619","53.4%","21,079","54.0%","110,391","49.4%","22,909","50.0%","10,993","51.2%","561,195","48.9%","14,745","53.2%","94,773","49.8%","494,056","49.9%","14,368","51.2%","67,538","49.6%","92,609","51.3%","9,239","51.5%","457,243","51.2%","83,210","55.1%","32,099","49.9%","20,042","65.5%","4,949,565","49.3%","75,307","48.3%","126,529","48.8%","8,930","51.6%","43,107","49.5%","138,228","50.5%","4,504","50.9%","7,707","53.5%","220,419","50.9%","69,050","49.8%","48,943","49.2%","1,564,577","49.4%","191,391","48.8%","9,448","50.1%","1,215,233","49.8%","752,098","48.9%","30,985","50.3%","1,076,601","49.8%","1,674,512","50.4%","446,246","51.0%","374,641","49.8%","142,935","50.6%","379,247","49.5%","222,524","50.0%","974,741","50.7%","135,233","49.5%","88,152","49.2%","1,474","50.9%","21,658","49.8%","221,230","49.8%","242,657","48.8%","270,532","49.5%","48,090","49.9%","31,849","49.6%","6,369","50.8%","231,958","50.0%","28,023","51.8%","418,591","49.5%","106,002","48.5%","39,347","50.8%"
"        Female","844,443","50.8%","540","46.6%","17,944","46.0%","112,953","50.6%","22,919","50.0%","10,498","48.8%","586,593","51.1%","12,947","46.8%","95,572","50.2%","496,148","50.1%","13,692","48.8%","68,563","50.4%","87,971","48.7%","8,691","48.5%","435,215","48.8%","67,880","44.9%","32,177","50.1%","10,558","34.5%","5,091,117","50.7%","80,618","51.7%","132,912","51.2%","8,389","48.4%","44,003","50.5%","135,433","49.5%","4,349","49.1%","6,688","46.5%","212,558","49.1%","69,522","50.2%","50,474","50.8%","1,605,768","50.6%","200,408","51.2%","9,396","49.9%","1,222,631","50.2%","785,850","51.1%","30,562","49.7%","1,085,931","50.2%","1,649,458","49.6%","428,538","49.0%","376,974","50.2%","139,582","49.4%","386,376","50.5%","222,371","50.0%","949,638","49.3%","137,937","50.5%","91,115","50.8%","1,424","49.1%","21,858","50.2%","223,308","50.2%","254,144","51.2%","275,703","50.5%","48,225","50.1%","32,327","50.4%","6,172","49.2%","231,997","50.0%","26,124","48.2%","427,008","50.5%","112,772","51.5%","38,177","49.2%"
"        Sex ratio (males per 100 females)","96.8","(X)","114.6","(X)","117.5","(X)","97.7","(X)","100.0","(X)","104.7","(X)","95.7","(X)","113.9","(X)","99.2","(X)","99.6","(X)","104.9","(X)","98.5","(X)","105.3","(X)","106.3","(X)","105.1","(X)","122.6","(X)","99.8","(X)","189.8","(X)","97.2","(X)","93.4","(X)","95.2","(X)","106.4","(X)","98.0","(X)","102.1","(X)","103.6","(X)","115.2","(X)","103.7","(X)","99.3","(X)","97.0","(X)","97.4","(X)","95.5","(X)","100.6","(X)","99.4","(X)","95.7","(X)","101.4","(X)","99.1","(X)","101.5","(X)","104.1","(X)","99.4","(X)","102.4","(X)","98.2","(X)","100.1","(X)","102.6","(X)","98.0","(X)","96.7","(X)","103.5","(X)","99.1","(X)","99.1","(X)","95.5","(X)","98.1","(X)","99.7","(X)","98.5","(X)","103.2","(X)","100.0","(X)","107.3","(X)","98.0","(X)","94.0","(X)","103.1","(X)"
"        Under 5 years","95,926","5.8%","72","6.2%","1,483","3.8%","12,150","5.4%","1,904","4.2%","1,556","7.2%","64,964","5.7%","1,656","6.0%","8,615","4.5%","76,364","7.7%","2,051","7.3%","7,125","5.2%","14,501","8.0%","726","4.0%","69,067","7.7%","11,461","7.6%","3,714","5.8%","1,378","4.5%","593,061","5.9%","11,384","7.3%","12,014","4.6%","751","4.3%","5,005","5.7%","21,138","7.7%","482","5.4%","700","4.9%","30,732","7.1%","6,842","4.9%","4,152","4.2%","185,788","5.9%","20,679","5.3%","796","4.2%","156,118","6.4%","98,917","6.4%","4,101","6.7%","152,720","7.1%","205,754","6.2%","39,195","4.5%","52,370","7.0%","12,906","4.6%","43,088","5.6%","27,710","6.2%","113,558","5.9%","13,661","5.0%","10,442","5.8%","122","4.2%","2,232","5.1%","26,764","6.0%","24,482","4.9%","39,217","7.2%","6,491","6.7%","3,807","5.9%","594","4.7%","36,942","8.0%","2,378","4.4%","49,179","5.8%","12,061","5.5%","6,036","7.8%"
"        5 to 9 years","94,590","5.7%","67","5.8%","1,592","4.1%","13,155","5.9%","2,419","5.3%","1,633","7.6%","71,395","6.2%","1,596","5.8%","10,051","5.3%","78,430","7.9%","1,614","5.8%","7,745","5.7%","13,628","7.5%","1,324","7.4%","71,516","8.0%","10,646","7.0%","3,980","6.2%","1,406","4.6%","583,789","5.8%","12,159","7.8%","13,355","5.1%","803","4.6%","5,565","6.4%","21,726","7.9%","578","6.5%","733","5.1%","31,110","7.2%","7,305","5.3%","4,445","4.5%","182,256","5.7%","23,924","6.1%","953","5.1%","165,641","6.8%","99,875","6.5%","4,282","7.0%","157,060","7.3%","191,507","5.8%","31,046","3.5%","57,392","7.6%","13,874","4.9%","43,566","5.7%","27,384","6.2%","116,187","6.0%","13,991","5.1%","10,635","5.9%","102","3.5%","2,537","5.8%","27,118","6.1%","27,834","5.6%","39,732","7.3%","7,141","7.4%","3,882","6.0%","641","5.1%","40,825","8.8%","2,557","4.7%","52,376","6.2%","12,590","5.8%","6,384","8.2%"
"        10 to 14 years","96,091","5.8%","69","6.0%","1,769","4.5%","11,951","5.4%","1,861","4.1%","1,681","7.8%","76,944","6.7%","1,805","6.5%","11,968","6.3%","81,637","8.2%","2,548","9.1%","6,814","5.0%","15,207","8.4%","1,033","5.8%","75,827","8.5%","12,534","8.3%","3,624","5.6%","1,396","4.6%","629,146","6.3%","12,328","7.9%","16,784","6.5%","811","4.7%","4,968","5.7%","24,223","8.9%","387","4.4%","947","6.6%","33,321","7.7%","8,996","6.5%","5,262","5.3%","206,033","6.5%","26,560","6.8%","848","4.5%","183,687","7.5%","104,795","6.8%","4,583","7.4%","163,879","7.6%","204,492","6.2%","30,176","3.4%","59,177","7.9%","14,616","5.2%","43,926","5.7%","27,915","6.3%","121,890","6.3%","15,432","5.6%","10,985","6.1%","140","4.8%","2,537","5.8%","28,254","6.4%","27,787","5.6%","44,308","8.1%","7,094","7.4%","4,969","7.7%","564","4.5%","41,351","8.9%","2,488","4.6%","57,915","6.8%","13,259","6.1%","5,851","7.5%"
"        15 to 19 years","93,648","5.6%","53","4.6%","1,916","4.9%","15,571","7.0%","2,258","4.9%","1,623","7.6%","73,373","6.4%","1,572","5.7%","11,027","5.8%","72,094","7.3%","2,044","7.3%","8,910","6.5%","13,697","7.6%","983","5.5%","66,375","7.4%","10,331","6.8%","3,398","5.3%","1,354","4.4%","628,933","6.3%","11,151","7.2%","15,122","5.8%","638","3.7%","4,977","5.7%","23,663","8.6%","410","4.6%","936","6.5%","30,914","7.1%","8,906","6.4%","4,913","4.9%","204,457","6.4%","24,574","6.3%","1,104","5.9%","177,309","7.3%","94,817","6.2%","4,547","7.4%","157,281","7.3%","206,504","6.2%","30,589","3.5%","55,728","7.4%","22,270","7.9%","40,559","5.3%","37,812","8.5%","114,160","5.9%","22,915","8.4%","10,441","5.8%","169","5.8%","2,491","5.7%","26,356","5.9%","29,602","6.0%","39,596","7.2%","6,574","6.8%","3,815","5.9%","635","5.1%","37,509","8.1%","2,448","4.5%","56,425","6.7%","21,676","9.9%","4,919","6.3%"
"        20 to 24 years","98,333","5.9%","23","2.0%","1,466","3.8%","24,382","10.9%","2,019","4.4%","1,277","5.9%","66,552","5.8%","1,297","4.7%","9,591","5.0%","70,752","7.1%","1,738","6.2%","12,387","9.1%","13,077","7.2%","718","4.0%","65,836","7.4%","12,572","8.3%","3,078","4.8%","2,741","9.0%","696,574","6.9%","10,911","7.0%","11,663","4.5%","719","4.2%","4,573","5.2%","20,618","7.5%","289","3.3%","1,075","7.5%","30,356","7.0%","8,517","6.1%","4,126","4.2%","208,955","6.6%","20,102","5.1%","598","3.2%","167,306","6.9%","96,410","6.3%","4,076","6.6%","163,314","7.6%","250,806","7.5%","47,203","5.4%","51,488","6.9%","28,909","10.2%","41,632","5.4%","47,969","10.8%","117,877","6.1%","26,816","9.8%","9,798","5.5%","63","2.2%","1,923","4.4%","28,744","6.5%","27,977","5.6%","37,019","6.8%","5,933","6.2%","3,528","5.5%","391","3.1%","33,127","7.1%","2,859","5.3%","56,610","6.7%","30,551","14.0%","5,392","7.0%"
